id;rut;start_date;update_date;total_amount
39246803-58dc-4ef8-8234-1cd3ecd46f0b;24/7 España Buckinghamshire;2022-01-26T20:26:12;2022-01-26T02:53:09;multi-byte
70043082-7ab8-456b-8c38-bf3e5ae787bd;programming León;2022-01-26T19:18:08;2022-01-26T13:06:16;Gorro
6443092e-e0ad-48c6-8bb7-046c538099ca;Castilla-La Plástico Funcionalidad;2022-01-25T23:27:19;2022-01-26T13:08:55;Avon
0512d7ac-c575-402d-90ac-f5efd181ed8a;Bebes;2022-01-26T15:09:55;2022-01-26T16:48:53;Bedfordshire
1e15dd0a-789a-4e2e-9621-4476e43f4f40;Bedfordshire;2022-01-26T08:31:20;2022-01-25T22:51:27;Moldavia
73a40633-02cd-4796-bc23-2a4feec313b3;programming usuario;2022-01-25T21:32:59;2022-01-25T21:19:37;Usabilidad
23055d73-3e5b-46ab-a626-a90eee013bd2;invoice;2022-01-25T23:06:06;2022-01-26T18:32:57;Interno
641979d0-d8c1-43b9-82c6-3aba2aaef19b;Coche;2022-01-26T00:22:51;2022-01-26T17:34:31;Dinánmico Joyería
2f7d0da1-5285-4e15-bb0c-579c83b584b8;Rojo;2022-01-26T16:22:49;2022-01-25T23:02:33;Métricas Granada architect
6fdf4b55-357a-4baa-a9bf-dbe6f5da49ad;Bebes JSON;2022-01-26T13:01:09;2022-01-26T11:58:22;Buckinghamshire Francia
